,amoxicillin,ampicillin,aztreonam,cefepime,cefotaxime,cefoxitin,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,piperacillin,tobramycin,trimethoprim,sulfamethoxazole
402,1,,,,1,,1,1,1,0,0,,,
403,1,,,,1,,1,1,1,0,0,,,
404,1,,,,0,,0,0,0,0,0,,,
405,1,,,,0,,0,0,0,0,1,,,
406,1,,,,0,,0,0,0,0,0,,,
407,1,,,,0,,0,0,0,0,0,,,
408,1,,,,0,,0,0,0,0,0,,,
409,1,,,,0,,0,1,0,0,0,,,
410,1,,,,0,,0,1,0,0,,,,
411,1,,,,0,,0,0,0,0,0,,,
412,1,,,,0,,0,0,0,0,0,,,
413,1,,,,0,,0,0,0,0,,,,
414,1,,,,0,,0,0,0,0,0,,,
415,1,,,,0,,0,0,0,0,0,,,
416,1,,,,0,,0,0,0,0,0,,,
417,1,,,,0,,0,0,1,0,0,,,
418,1,,,,0,,0,0,0,0,0,,,
419,1,,,,0,,0,0,1,0,1,,,
420,1,,,,1,,0,1,0,0,0,,,
421,1,,,,0,,0,0,0,1,0,,,
422,1,,,,0,,0,1,0,0,0,,,
423,1,,,,0,,0,0,0,0,0,,,
424,1,,,,0,,0,0,1,0,0,,,
425,1,,,,0,,0,1,0,0,0,,,
426,1,,,,0,,0,0,1,0,0,,,
427,1,,,,0,,0,0,0,0,0,,,
428,1,,,,0,,0,0,0,0,0,,,
429,1,,,,0,,0,0,0,0,0,,,
430,1,,,,0,,0,0,0,0,0,,,
431,1,,,,0,,0,0,,0,0,,,
432,1,,,,0,,0,0,0,0,0,,,
433,1,,,,0,,0,0,1,0,0,,,
434,1,,,,0,,0,0,0,0,0,,,
435,1,,,,0,,0,0,0,0,0,,,
436,1,,,,1,,1,1,1,1,,,,
437,1,,,,0,,0,0,0,0,0,,,
438,1,,,,0,,0,0,0,0,0,,,
439,1,,,,0,,0,0,0,1,,,,
440,1,,,,1,,1,1,1,0,0,,,
441,1,,,,0,,0,0,0,1,,,,
442,1,,,,0,,0,0,0,0,0,,,
443,1,,,,0,,0,1,0,0,1,,,
444,1,,,,0,,0,0,0,0,0,,,
445,1,,,,1,,1,1,1,1,,,,
446,1,,,,0,,0,0,0,0,0,,,
447,1,,,,0,,0,0,0,0,0,,,
448,1,,,,0,,0,1,,0,0,,,
449,1,,,,0,,0,0,0,0,0,,,
450,1,,,,0,,0,0,0,0,0,,,
451,1,,,,0,,0,0,0,0,0,,,
452,1,,,,0,,1,1,0,0,1,,,
453,1,,,,0,,0,0,0,0,0,,,
454,1,,,,0,,0,0,0,0,0,,,
455,1,,,,0,,0,0,0,0,0,,,
456,1,,,,0,,0,0,0,0,0,,,
457,1,,,,0,,0,0,0,0,0,,,
458,1,,,,1,,1,1,1,1,,,,
459,1,,,,0,,0,1,0,0,1,,,
460,1,,,,0,,0,0,0,0,0,,,
461,1,,,,0,,0,0,0,0,0,,,
462,1,,,,0,,0,0,0,0,0,,,
463,1,,,,0,,0,0,0,0,0,,,
464,1,,,,0,,0,1,0,0,0,,,
465,1,,,,0,,0,0,0,0,0,,,
466,1,,,,0,,0,0,0,0,0,,,
467,1,,,,1,,1,1,0,0,0,,,
468,1,,,,0,,0,0,0,0,0,,,
469,1,,,,0,,0,1,1,0,0,,,
470,1,,,,0,,0,0,0,0,0,,,
471,1,,,,1,,,1,1,0,0,,,
472,1,,,,0,,0,0,0,0,0,,,
473,1,,,,0,,0,0,0,0,0,,,
474,1,,,,0,,,0,0,0,1,,,
475,1,,,,0,,0,1,0,0,0,,,
476,1,,,,0,,0,0,0,0,0,,,
477,1,,,,0,,0,1,0,0,0,,,
478,1,,,,1,,1,1,1,0,0,,,
479,1,,,,0,,0,0,0,0,0,,,
480,1,,,,0,,0,0,0,0,0,,,
481,1,,,,0,,0,0,0,0,0,,,
482,1,,,,0,,0,1,0,0,0,,,
483,1,,,,0,,0,0,0,0,0,,,
484,1,,,,0,,0,0,0,0,0,,,
485,1,,,,0,,0,0,0,0,0,,,
486,1,,,,0,,0,0,0,0,0,,,
487,1,,,,0,,0,0,0,0,0,,,
488,1,,,,0,,0,0,0,0,1,,,
489,1,,,,1,,1,1,1,1,0,,,
490,1,,,,0,,0,0,1,1,0,,,
491,1,,,,0,,0,1,0,0,0,,,
492,1,,,,0,,0,0,1,1,0,,,
